102,Universidade Cidade de São Paulo (UNICID),44.27
103,Universidade Estadual de Montes Claros (UNIMONTES),44.2
104,Universidade do Oeste Paulista (UNOESTE),44.04
105,Universidade Metodista de São Paulo (UMESP),43.92
106,Pontifícia Universidade Católica de Goiás (PUC GOIÁS),43.89
107,Universidade do Grande Rio Professor José de Souza Herdy (UNIGRANRIO),43.23
108,Universidade José do Rosário Vellano (UNIFENAS),42.57
109,Universidade Guarulhos (UNG),42.48
110,Universidade de Santa Cruz do Sul (UNISC),42.4
111,Universidade do Sagrado Coração (USC),42.24
112,Universidade Federal da Fronteira Sul (UFFS),41.82
113,Universidade Anhembi Morumbi (UAM),41.51
114,Universidade Vila Velha (UVV),41.47
115,Universidade Veiga de Almeida (UVA),41.03
116,Universidade da Amazônia (UNAMA),40.74
117,Universidade Federal Rural da Amazônia (UFRA),40.58
118,Fundação Universidade Federal do Tocantins (UFT),40.53
119,Universidade Federal do Recôncavo da Bahia (UFRB),40.46
120,Universidade São Judas Tadeu (USJT),40.1
121,Universidade Estadual de Goiás (UEG),39.72
122,Fundação Universidade Federal de Rondônia (UNIR),39.62
123,Universidade Salvador (UNIFACS),39.49
124,Universidade de Sorocaba (UNISO),39.43
125,Universidade Potiguar (UNP),39.39
126,Universidade Estadual de Mato Grosso do Sul (UEMS),39.33
127,Universidade do Estado do Pará (UEPA),38.98
128,Universidade Fumec (FUMEC),38.84
129,Universidade do Estado de Mato Grosso (UNEMAT),37.68
130,Universidade Paranaense (UNIPAR),37.29
131,Universidade Estadual do Vale do Acaraú (UVA),37.21
132,Universidade Estadual do Piauí (UESPI),36.75
133,Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI),36.65
134,Universidade de Mogi Das Cruzes (UMC),36.59
135,Universidade Santa Cecília (UNISANTA),36.51
136,Universidade de Taubaté (UNITAU),35.95
137,Universidade Federal do Oeste do Pará (UFOPA),35.68
138,Universidade Tuiuti do Paraná (UTP),35.1
139,Universidade de Uberaba (UNIUBE),34.81
140,Universidade Federal do Acre (UFAC),34.43
141,Universidade do Oeste de Santa Catarina (UNOESC),34.08
142,Universidade do Estado de Minas Gerais (UEMG),32.57
143,Universidade de Marília (UNIMAR),32.39
144,Universidade Federal de Roraima (UFRR),32.09
145,Universidade Estadual do Rio Grande do Sul (UERGS),31.91
146,Universidade do Estado do Rio Grande do Norte (UERN),31.66
147,Universidade de Cuiabá (UNIC / PITÁGORAS),31.49
148,Universidade Católica de Santos (UNISANTOS),31.48
149,Universidade Regional do Cariri (URCA),31.26
150,Universidade Brasil,28.3
151,Universidade Salgado de Oliveira (UNIVERSO),27.88
152,Universidade Anhanguera (UNIDERP),27.87
153,Universidade Regional Integrada do Alto Uruguai e Das Missões (URI),27.58
154,Universidade Federal do Amapá (UNIFAP),27.51
155,Universidade Estadual do Norte do Paraná (UENP),27.23
156,Universidade do Ceuma (UNICEUMA),26.97
157,Universidade de Araraquara (UNIARA),25.89
158,Universidade de Cruz Alta (UNICRUZ),25.33
159,Universidade de Vassouras,25.22
160,Universidade Federal da Integração Latino-Americana (UNILA),25.17
161,Universidade Estadual do Maranhão (UEMA),24.08
162,Universidade Anhanguera de São Paulo (UNIAN - SP),24.06
163,Universidade Comunitária da Região de Chapecó (UNOCHAPECÓ),23.8
164,Universidade Castelo Branco (UCB),23.64
165,Universidade Nilton Lins (UNINILTONLINS),23.58
166,Universidade Católica do Salvador (UCSAL),23.56
