CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,4,3,100,05/08/2004,"Ciências, matemática e computação",Análise e Desenvolvimento de Sistemas (Tecnólogo)
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ARQUITETURA E URBANISMO,Bacharelado,Presencial,-,-,60,30/08/2017,"Engenharia, produção e construção",Arquitetura e urbanismo
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ARQUITETURA E URBANISMO,Bacharelado,Presencial,4,3,168,29/11/2012,"Engenharia, produção e construção",Arquitetura e urbanismo
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,-,2,60,22/09/1999,"Ciências, matemática e computação",Ciência da computação
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,CIÊNCIAS BIOLÓGICAS,Bacharelado,Presencial,-,3,50,16/09/1999,"Ciências, matemática e computação",Ciências biológicas
,,,,,,,,,,
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,4,-,60,02/09/2013,"Ciências sociais, negócios e direito",Ciências contábeis
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,4,2,60,23/06/2005,"Ciências sociais, negócios e direito",Ciências contábeis
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,5,3,50,06/07/2001,"Ciências sociais, negócios e direito",Ciências contábeis
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,DIREITO,Bacharelado,Presencial,5,-,150,26/09/2018,"Ciências sociais, negócios e direito",Direito
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,DIREITO,Bacharelado,Presencial,4,3,240,28/08/2003,"Ciências sociais, negócios e direito",Direito
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,DIREITO,Bacharelado,Presencial,4,-,150,21/05/2018,"Ciências sociais, negócios e direito",Direito
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,5,3,50,22/09/1999,Saúde e bem estar social,Educação física
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,4,3,70,29/07/1999,Saúde e bem estar social,Educação física
,,,,,,,,,,
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ENFERMAGEM,Bacharelado,Presencial,4,4,100,05/06/1968,Saúde e bem estar social,Enfermagem
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ENGENHARIA CIVIL,Bacharelado,Presencial,5,3,240,29/06/1998,"Engenharia, produção e construção",Engenharia civil
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Presencial,-,-,120,30/10/2014,"Engenharia, produção e construção",Engenharia de computação
